Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita
Samoa,Tala,WST,6079.764271,3857.3
San Marino,Euro,EUR,56364.21,45320.2
Sao Tome and Principe,Dobra,STN,4451.642512,2360.5
Saudi Arabia,Saudi Riyal,SAR,48710.94768,23185.9
Senegal,CFA Franc BCEAO,XOF,3840.032959,1636.9
Serbia,Serbian Dinar,RSD,21503.35809,9230.2
Seychelles,Seychelles Rupee,SCR,31596.15966,14653.3
Sierra Leone,Leone,SLL,1773.899246,480
Singapore,Singapore Dollar,SGD,116486.4732,72794
Slovakia,Euro,EUR,33010.29075,21391.4
Slovenia,Euro,EUR,43602.4892,29291.4
Solomon Islands,Solomon Islands Dollar,SBD,2648.732207,2304.8
Somalia,Somali Shilling,SOS,1248.812487,447
South Africa,Rand,ZAR,14624.41517,7055
Spain,Euro,EUR,40698.6887,30103.5
Sri Lanka,Sri Lanka Rupee,LKR,14706.54132,4013.7
St. Vincent and the Grenadines,East Caribbean Dollar,XCD,15045.30178,8666.4
State of Palestine,US Dollar,USD,5643.07,3663.97
Sudan,Sudanese Pound,SDG,4065.976074,751.8
Suriname,Surinam Dollar,SRD,16222.6757,4869.1
Sweden,Swedish Krona,SEK,59323.96461,61028.7
Switzerland,Swiss Franc,CHF,77273.60724,91991.6
Syrian Arab Republic,Syrian Pound,SYP,4684.72,726.74
T?rkiye,New Turkish Lira,TRY,30737.0175,9661.2
Taiwan,Taiwan Dollar,TWD,65480,32811
Tajikistan,Somoni,TJS,3903.32,1279.61
Thailand,Baht,THB,18760.75522,7066.2
Timor-Leste,US Dollar,USD,5528.580523,2741.4
Togo,CFA Franc BCEAO,XOF,2334.299325,973.2
Tonga,Pa'anga,TOP,6748.512118,4426
Trinidad and Tobago,Trinidad and Tobago Dollar,TTD,25308.49072,16032.5
Tunisia,Tunisian Dinar,TND,11282.48463,3807.1
Turkmenistan,Turkmenistan Manat,TMT,14992.6,7344.6
Turks and Caicos Islands,US Dollar,USD,20337.69338,20908.6
Tuvalu,Australian Dollar,AUD,5409.511692,5632
U.R. of Tanzania: Mainland,Tanzanian Shilling,TZS,2836.242432,1099.3
Uganda,Uganda Shilling,UGX,2467.899337,883.9
Ukraine,Hryvnia,UAH,14219.79004,4835.6
United Arab Emirates,UAE Dirham,AED,76609.198,44315.6
United Kingdom,Pound Sterling,GBP,49675.30467,46510.3
United States,US Dollar,USD,69287.53659,70248.6
Uruguay,Peso Uruguayo,UYU,25048.72397,17313.2
Uzbekistan,Uzbekistan Sum,UZS,8497.448308,1983.2
Vanuatu,Vatu,VUV,3057.4114,2996.6
Venezuela (Bolivarian Republic of),Bolivar Digital,VEF,17131.39,15975.7
Viet Nam,Dong,VND,11676.10856,3756.5
Yemen,Yemeni Rial,YER,2285,701.7
Zambia,Kwacha,ZMW,3555.920229,1137.3
Zanzibar,Tanzanian Shilling,TZS,2581.7,1039.56
Zimbabwe,US Dollar,USD,2323.687257,1773.9
