,Country,Currency,Currency abbreviation,GDP per capita PPP,GDP per capita,Forex score,today_rate,PPP,coffee,Final score,id,rank
151,Namibia,Namibian Dollar,NAD,10038.73827,4865.6,2.8883538462846,7.198963868000364,0.48468242413894513,1.888902155133655,2.4038725911557335,151,65
142,Malaysia,Malaysian Ringgit,MYR,28929.4742,11109.3,1.7408494301858208,29.52552896371309,0.38401320131839795,2.3840786524220867,2.4009850616214816,142,66
51,Benin,CFA Franc BCEAO,XOF,3649.04065,1319.2,1.3519069849199457,0.2140272645030925,0.3615196777816109,2.53241450404398,2.389653054393527,51,67
189,Thailand,Baht,THB,18760.75522,7066.2,1.4947305149091024,3.819637847949332,0.3766479503163626,2.4306986796091032,2.37859659275146,189,68
156,North Macedonia,Denar,MKD,18222.2861,6694.6,1.3311035837400311,2.278459409767365,0.36738529750117355,2.4919823458872443,2.3731331030092058,156,69
64,Brazil,Brazilian Real,BRL,16031.08617,7507.2,2.5092418498803433,24.91031942234597,0.4682901657685993,1.9550222115145832,2.3727199420601814,64,70
52,Burkina Faso,CFA Franc BCEAO,XOF,2394.705365,893.1,1.3519069849199457,0.2140272645030925,0.3729477592747616,2.4548147903925837,2.3642249116955574,52,71
55,Mali,CFA Franc BCEAO,XOF,2329.706181,873.8,1.3519069849199457,0.2140272645030925,0.3750687563634875,2.4409329222405534,2.3596760531022127,55,72
162,Paraguay,Guarani,PYG,15037.18964,5891.5,1.5505535900816496,0.0181843633072087,0.39179528495990956,2.336724587191339,2.3564239851636177,162,73
112,Georgia,Lari,GEL,15486.66,5023.3,0.5525756026742801,50.73660612563633,0.32436303244211473,2.822509299591159,2.353656389722197,112,74
86,Cuba,Cuban Convertible Peso,CUC,21016.65,9499.6,2.106077019475807,130.71774181531478,0.4520035305341241,2.025465762246608,2.3378054721676107,86,75
119,Honduras,Lempira,HNL,6121.565844,2771.7,2.081031599136676,5.316410190976153,0.4527763109363036,2.0220087787239653,2.3330033115916398,119,76
95,El Salvador,US Dollar,USD,9981.88602,4551.2,2.106077019475807,130.71774181531478,0.4559458994904452,2.007952427107294,2.3320666419054215,95,77
160,Panama,Balboa,PAB,31900.94175,14617.6,2.106077019475807,130.71774181531478,0.45821844742248086,1.9979939277026608,2.3288034063597824,160,78
141,Malawi,Kwacha,MWK,1638.152251,634.8,1.2919401847875192,0.128213831823544,0.3875097687730125,2.3625666996997197,2.3245491938448852,141,79
54,Guinea-Bissau,CFA Franc BCEAO,XOF,2011.94848,795.1,1.3519069849199457,0.2140272645030925,0.3951890457950494,2.316657521894618,2.3189530598700476,54,80
168,Republic of Moldova,Moldovan Leu,MDL,15390.46583,5230.7,0.5481460737128143,7.080309819398665,0.3398662560170214,2.693758675076016,2.31070717718954,168,81
116,Guinea,Guinea Franc,GNF,2900.668958,1189.2,1.4367409908759197,0.0152852024495123,0.40997439460308105,2.2331094028392213,2.304844094271301,116,82
174,Saudi Arabia,Saudi Riyal,SAR,48710.94768,23185.9,2.106077022417105,34.85806448408394,0.47598950758085523,1.9233988584421493,2.3043598363636435,174,83
16,Kosovo,Euro,EUR,13055.90078,5269.8,1.3519069303098181,140.39268234165507,0.40363358214797956,2.2681900515795337,2.3030710629011577,16,84
143,Maldives,Rufiyaa,MVR,20615.37308,10366.3,2.3125016428134257,8.456233627835376,0.5028431918147949,1.8206822532632745,2.300643334531453,143,85
93,Dominican Republic,Dominican Peso,DOP,20462.51713,8476.8,1.457434915847849,2.3876097620277705,0.41425988533796765,2.2100080358119794,2.3004938247865505,93,86
89,D.R. of the Congo,Franc Congolais,CDF,1179.499142,577.2,2.1836507739134694,0.0640081628878662,0.4893602542357764,1.870846002688147,2.2984536497925565,89,87
85,Cuba,Cuban Peso,CUP,21016.65,9499.6,1.8377121196325268,5.479250388584772,0.4520035305341241,2.025465762246608,2.298059020080584,85,88
22,Montenegro,Euro,EUR,23284.56728,9465.7,1.3519069303098181,140.39268234165507,0.4065224784370569,2.2520714697778024,2.2977892702390794,22,89
169,Romania,New Leu,RON,35869.63348,14858.2,1.404027934610966,28.51602066847364,0.4142278177524328,2.210179124325797,2.2922270711814314,169,90
70,Cameroon,CFA Franc BEAC,XAF,4065.31161,1666.9,1.3519069849199457,0.2140272645030925,0.4100300690111182,2.2328061883837913,2.2914763647432226,70,91
62,Bosnia and Herzegovina,Convertible Marks,BAM,17376.60824,7143.3,1.3519069298529303,71.78163866064796,0.4110871293948214,2.2270647997645407,2.2895949980034422,62,92
46,Bahrain,Bahraini Dinar,BHD,54256.77143,26563.0,2.1060770231968915,347.6535686577521,0.4895794441855163,1.8700084049373213,2.286864667919166,46,93
58,Togo,CFA Franc BCEAO,XOF,2334.299325,973.2,1.3519069849199457,0.2140272645030925,0.41691311374559903,2.1959435799136506,2.279397097639107,58,94
101,Timor-Leste,US Dollar,USD,5528.580523,2741.4,2.106077019475807,130.71774181531478,0.49585964943356226,1.8463242100003205,2.2791037484200456,101,95
124,Iraq,Iraqi Dinar,IQD,9846.0415,4775.4,2.0048269855626564,0.0896906054651619,0.4850070965067535,1.8876376904697714,2.2777576057953937,124,96
193,Turkmenistan,Turkmenistan Manat,TMT,14992.6,7344.6,1.9710902782824682,37.41698303458748,0.4898816749596468,1.8688547098375785,2.266613649146961,193,97
57,Senegal,CFA Franc BCEAO,XOF,3840.032959,1636.9,1.3519069849199457,0.2140272645030925,0.42627238293972153,2.1477292739391927,2.263598067014977,57,98
94,Ecuador,US Dollar,USD,11720.64464,5965.1,2.106077019475807,130.71774181531478,0.5089395833777279,1.7988730006720133,2.2635547719455724,94,99
115,Guatemala,Quetzal,GTQ,9806.82822,5025.5,2.0764516627187892,16.751613434942783,0.5124490698991768,1.786553492411614,2.2551766373777893,115,100
164,Philippines,Philippine Peso,PHP,8892.789346,3460.5,0.8420670263607192,2.407841252651618,0.3891354967894907,2.3526963822750977,2.2485138172360988,164,101
53,C?te d'Ivoire,CFA Franc BCEAO,XOF,5850.051925,2549.0,1.3519069849199457,0.2140272645030925,0.4357226282226546,2.1011478775980104,2.2483341138700554,53,102
148,Morocco,Moroccan Dirham,MAD,8852.914063,3795.4,1.27878146183025,12.709609411202122,0.42871759208219934,2.1354796080677807,2.2480556895900783,148,103
158,Oman,Rial Omani,OMR,37676.0574,19509.5,2.0688912235222845,339.6836500604504,0.5178222283948426,1.7680154024082757,2.247992312583347,158,104
66,Bulgaria,Bulgarian Lev,BGN,27926.10922,12221.5,1.3519069298529303,71.78163866064796,0.43763704795823327,2.091956519181237,2.24532224908863,66,105
72,Chad,CFA Franc BEAC,XAF,1566.041161,685.7,1.3519069849199457,0.2140272645030925,0.43785566885237187,2.090912007399715,2.2449799885029256,72,106
83,Comoros,Comoro Franc,KMF,3546.843502,1577.5,1.3519069340371934,0.2853696860041234,0.4447616589540747,2.0584455900817487,2.234341272536173,83,107
175,Serbia,Serbian Dinar,RSD,21503.35809,9230.2,1.16603133913859,1.1988722979363324,0.42924458409556254,2.132857837776787,2.229251154346453,175,108
126,Jamaica,Jamaican Dollar,JMD,10542.73779,5183.6,1.7221488578277169,0.8590344172069938,0.4916749428138818,1.8620385050983104,2.2270900768778756,126,109
56,Niger,CFA Franc BCEAO,XOF,1303.567363,590.6,1.3519069849199457,0.2140272645030925,0.4530644267134817,2.0207229293030147,2.221980188507533,56,110
41,Kiribati,Australian Dollar,AUD,2128.076638,1606.5,3.1723734134411026,86.92458988441341,0.7549070232309932,1.2127555411963884,2.220878867169415,41,111
190,Tonga,Pa'anga,TOP,6748.512118,4426.0,2.6202415203253353,55.097229510694405,0.6558482703461006,1.3959290843724048,2.205144474837415,190,112
74,Equatorial Guinea,CFA Franc BEAC,XAF,16080.14326,7506.7,1.3519069849199457,0.2140272645030925,0.46683041802700953,1.9611354362484759,2.202454352584841,74,113
92,Djibouti,Djibouti Franc,DJF,5397.679018,3150.4,2.1931720888817545,0.7341535862752498,0.5836582704333013,1.5685851154508403,2.2007912578906543,92,114
191,Trinidad and Tobago,Trinidad and Tobago Dollar,TTD,25308.49072,16032.5,2.4649530843973557,19.24955116746343,0.6334830542593494,1.4452125741261623,2.1993878513013074,191,115
131,Kuwait,Kuwaiti Dinar,KWD,43922.63,24300.3,1.97816547981159,426.54232497389086,0.5532523894857845,1.65479208569235,2.1975164156760982,131,116
42,Nauru,Australian Dollar,AUD,13125.34837,10648.1,3.1723734134411026,86.92458988441341,0.8112622766141483,1.12851010320907,2.1932730305239603,42,117
198,United Arab Emirates,UAE Dirham,AED,76609.198,44315.6,2.1060770218950786,35.5936669340544,0.5784631761841443,1.5826723518525534,2.1927093955464114,198,118
36,St. Vincent and the Grenadines,East Caribbean Dollar,XCD,15045.30178,8666.4,2.065590693440548,48.4139775761677,0.5760203501880173,1.5893842556302498,2.1889731665703995,36,119
65,Brunei Darussalam,Brunei Dollar,BND,66055.2483,31449.1,1.3333681316154165,98.13940323269632,0.47610297151816167,1.9229404777544723,2.1870238917603286,65,120
